#1                   ******************************************************************************************
#                    *                                                                                        *
#                    *      BESANCON MODEL OF STELLAR POPULATION SYNTHESIS 2003-12
#                    *             
#                    * 
#                    ******************************************************************************************
#
#
#  (l =   293.0; b =  -40.0)  Distance  0.0 a 100.0 kpc;  Solid angle      1.000  square degree
#  Adaptive step in distance  (20,30,50)
#  SELECTIONS :
#      Absolute magnitude:    -7.00 - 20.00
#      Apparent magnitudes Band   V  : 10.00- 18.00
#                          Band   B  :-99.00- 99.00
#                          Band   U  :-99.00- 99.00
#                          Band   R  :-99.00- 99.00
#                          Band   I  :-99.00- 99.00
#                          Band   J  :-99.00- 99.00
#                          Band   H  :-99.00- 99.00
#                          Band   K  :-99.00- 99.00
#                          Band   L  :-99.00- 99.00
#                          Band   12 :-99.00- 99.00
#                          Band   15 :-99.00- 99.00
#
#      Selection in age: from .00E9Gyr to Bulge
#      Spectral types: O0.0 - D5.0  Luminosity class    : 1 - 7  logTeff: 3.00 -  6.00  Log g:        -3.00-        8.00
#      Colour :  B-V      -99.00 -  99.00 Step    10.00
#                U-B      -99.00 -  99.00 Step    10.00
#                V-I      -99.00 -  99.00 Step    10.00
#                V-K      -99.00 -  99.00 Step    10.00
#
#      Proper motions mu(a)*cos(d), mu(d) ICRS  in "/cen, range [    0.0000- 1000.0000[. Errors as a fct of magnitude:  0.0000+  0.0000*mag +  0.0000*mag^2)
#      Heliocentric Radial velocities: range [-500.0- 500.0[  Errors as a fct of magnitude    0.0000+  0.0000*mag +  0.0000*mag^2)
#   Computation mode :
#      Poisson drawings (ran1) for N <=  6
#      Photometric error laws:   V : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                B : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                U : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                I : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                K : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#      System:  Johnson-Cousins-IRAS VBURIJHKL+12+25  0.323  0.257  0.300  0.412  0.718  0.824  0.892  0.949  0.972  0.986
#      Creation of a catalogue of simulated stars
#  
#   Evolution model parameters 
#     Nb of tracks : 881 (with masses)                                               
#     Low masses from Vandenberg                                                     
#     Masses >1Msun Schaller et al.                                                  
#     Type of disc luminosity function: Hipparcos                                    
#     Integration time (Gyr):  10.000                                                
#          SFR : SFR consta    , nu : 0.400                                          
#     June08     IMF : slope x  0.6 (<0.20Msun) 0.6(<0.60Msun) 0.6 (<1Msun), 2 (>1Msu
#     Bolometric corrections : Flower                                                
#     Grid :   mag(sup, inf)=(-11.000 , 17.00 ) 10.000                               
#          LogTeff(sup, inf)=(  3.400 ,  5.50 )100.000                               
#       WD disc Wood 10Gyr Bergeron colors                                           
#     Pop   2  bv923m3.lf   hb3m3.lf     Age= 11.0Gyr  x=-0.5  WD IMF Salpeter 12Gyr 
#     Pop   3  bv923m4.lf   hb3m4.lf     Age= 14.0Gyr  x=-0.5  WD IMF2 14Gyr halo DA 
#     #  Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr                        
#  
#        Simulation of the stellar content of the Galaxy                       
#  
#  DENSITY LAWS (distances in pc, densities in M0/PC3)
#      Disc density law: Einasto; bulge Dwek G2; with warp and flare 
#      Distance Sun - Galactic Center : 8500.00  Disc outer truncation :14000.00
#      Sun position z_0  :15.00 Warp: starting position   8400.00 pc, angle  1.57080 radians, slope  0.18000 Flare: slope    0.5450E-06 starting position   9500.00 pc
#      Disc scale length: Young disc: 5000.0 3000.0; Old disc: 2530.0 1320.0
#      Disc excentricities : 0.0140 0.0268 0.0375 0.0551 0.0696 0.0785 0.0791
#      Thick disc: Modified exponential    800.00 2500.00  400.00 density correction   1.000 White dwarfs: 0.50609E-03/pc3
#      Spheroid: excentricity: 0.7600 exponent:  2.440 density correction   1.000 Halo white dwarfs: 0.28286E-03/pc3
#      Interstellar matter: Einasto law: excentricity and scale lengths in pc 0.0140  7222.0  5777.0
#      Disc mass density as a fct of age in M/pc3 :.003999  .007902  .006224  .004020  .005814  .004928  .006590
#      Stellar densities in */pc3 for Mv<8 (disc, Th.Disc, Spheroid) :.154E-01  .103E-02  .794E-05  . White dwarfs:.660E-02  .506E-03  .283E-03
#      Interstellar matter ( M/pc3) :.0210
#  KINEMATICS :
#      Disc velocity dispersions:
#                   U :     16.7    19.8    27.2    30.2    36.7    43.1    43.1
#                   V :     10.8    12.8    17.6    19.5    23.7    27.8    27.8
#                   W :      6.0     8.0    10.0    13.2    15.8    17.4    17.5
#      Thick disc, spheroid and bulge
#                   U :     67.0   131.0   113.0
#                   V :     51.0   106.0   115.0
#                   W :     42.0    85.0   100.0
#      Solar velocities U,V,W :    10.3     6.3     5.9
#      Rotation velocities: thick disc:   176.0 spheroid:      0.0  bulge:    150.0 LSR :   226.4
#      Radial velocity gradients on U (disc), U (bulge) W (in km/s/pc): -0.20E-03  0.00E+00  0.00E+00
#      Spheroid ellipsoid pointing towards z axis
#  
#      bulge Dwek G2;    1.590/ 0.424/ 0.42(kpc)  alpha (deg) 78.90 gamma  91.27 beta   3.50 Normalisation    0.2544E+11 x   1.0000 Cutoff   2.54kpc
#
#  METALLICITIES     .15E9  1. E9  2. E9  3. E9  5. E9  7. E9  10.E9  Th.D.  Spher  Bulge
#      [FE/H]         0.01   0.03   0.03   0.01  -0.07  -0.14  -0.37  -0.78  -1.78  -0.00#
#      Dispersion     0.12   0.12   0.10   0.11   0.18   0.17   0.20   0.30   0.50   0.40
#      Gradient -    -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07   0.00   0.00   0.00
#      Gradient |     0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
#  Absorption at s.n. : 0.70 mag./kpc   0 clouds
  Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] l           b         Av   Mbol
  0.230 10.20  5 7.20 3.559  4.85  6 0.48  1.498  1.196  2.051  4.209 17.058   -4.551   -0.958    5.80   39.41   26.18  -19.40  0.03 293.00000 -40.00000  0.119  8.671
  0.230  7.90  5 6.70 3.620  4.68  2 0.68  1.336  1.294  1.522  3.199 14.788    3.305    3.175   -5.11  -48.94  -11.52   -2.21  0.10 293.00000 -40.00000  0.119  6.593
  0.230  5.40  5 5.60 3.728  4.54  3 0.96  0.822  0.437  0.875  1.985 12.361   -0.252    0.746   15.20    0.17   -6.83  -16.07  0.09 293.00000 -40.00000  0.119  4.683
  0.230  4.60  5 5.10 3.770  4.44  2 1.11  0.661  0.164  0.715  1.574 11.584   -2.420   -3.724   21.19   52.37   -7.74   -0.09  0.18 293.00000 -40.00000  0.119  3.979
  0.230  4.00  5 4.80 3.780  4.26  5 1.16  0.610  0.095  0.672  1.499 10.872    1.629    1.998   35.20  -16.33  -31.07  -28.27  0.08 293.00000 -40.00000  0.119  3.410
  0.230  8.40  5 6.75 3.623  4.78  8 0.54  1.286  1.098  1.489  3.121 15.354    3.124    3.629   29.37  -41.09  -33.26  -28.33 -0.43 293.00000 -40.00000  0.119  7.657
  0.250 10.70  5 7.30 3.548  4.86  4 0.42  1.551  1.180  2.170  4.335 17.784   -1.622    0.622    5.16    7.66   10.98  -16.51 -0.14 293.00000 -40.00000  0.123  9.139
  0.250 10.60  5 7.30 3.550  4.88  2 0.44  1.496  1.166  2.146  4.249 17.725    2.169   -0.089   12.38  -11.02  -26.05    4.19  0.07 293.00000 -40.00000  0.123  9.039
  0.250 10.50  5 7.30 3.552  4.85  5 0.44  1.533  1.183  2.119  4.313 17.534    5.551    5.967  -12.97  -95.98  -16.55   -6.36 -0.07 293.00000 -40.00000  0.123  8.939
  0.250 10.30  5 7.20 3.557  4.81  7 0.46  1.550  1.210  2.112  4.114 17.389    5.451   -2.349   -0.10  -18.33  -49.85   46.30 -0.33 293.00000 -40.00000  0.123  8.739
  0.250  9.80  5 7.15 3.568  4.81  6 0.52  1.488  1.230  1.962  4.121 16.928    3.921    5.123  -19.94  -79.00   -1.36   -4.28  0.01 293.00000 -40.00000  0.123  8.303
  0.250  9.60  5 7.15 3.572  4.77  5 0.53  1.413  1.249  1.924  3.999 16.661    2.301    2.695   20.81  -33.89  -24.65  -21.10  0.31 293.00000 -40.00000  0.123  8.103
  0.250  9.30  5 7.10 3.580  4.74  2 0.56  1.469  1.245  1.866  3.877 16.466    2.224   -0.240   19.86   -7.83  -32.21    0.79 -0.18 293.00000 -40.00000  0.123  7.834
  0.250  8.90  5 7.00 3.590  4.72  5 0.59  1.421  1.293  1.785  3.657 16.000   -1.405    1.179    0.71   -0.11   14.09  -16.62  0.08 293.00000 -40.00000  0.123  7.466
  0.250  8.90  5 7.00 3.590  4.72  7 0.59  1.433  1.214  1.792  3.634 15.935   -5.356   -4.270   12.52   79.53   20.43   -4.86 -0.37 293.00000 -40.00000  0.123  7.466
  0.250  6.30  5 6.30 3.682  4.56  5 0.83  1.033  0.829  1.023  2.450 13.344   -3.321   -0.703   -0.16   29.86   24.10  -12.29 -0.15 293.00000 -40.00000  0.123  5.325
  0.250  6.10  5 6.20 3.692  4.56  7 0.85  0.955  0.631  0.975  2.325 13.121    1.721    1.735   -7.48  -29.78   -3.04    1.10 -0.41 293.00000 -40.00000  0.123  5.190
  0.250  3.50  4 5.20 3.750  3.91  7 1.16  0.714  0.207  0.791  1.752 10.540    1.698    3.846   11.52  -42.48   -9.91  -26.83 -0.05 293.00000 -40.00000  0.123  2.863
  0.250  7.60  5 6.51 3.655  4.73  8 0.60  1.118  0.847  1.196  2.753 14.660    5.451    5.169   13.79  -80.24  -37.03  -18.20 -0.78 293.00000 -40.00000  0.123  7.078
  0.270  9.20  5 7.10 3.582  4.74  6 0.57  1.461  1.257  1.842  3.904 16.550    1.754   -3.416   66.97   38.92  -73.20   -5.76 -0.09 293.00000 -40.00000  0.125  7.734
  0.270  7.90  5 6.70 3.620  4.68  3 0.68  1.338  1.317  1.525  3.208 15.272    0.324    4.231   -5.73  -44.36   15.03  -28.23  0.17 293.00000 -40.00000  0.125  6.593
  0.270  6.30  5 6.30 3.682  4.56  6 0.82  1.034  0.832  1.025  2.453 13.680    0.581    2.041   21.05  -17.54  -13.14  -26.50 -0.15 293.00000 -40.00000  0.125  5.325
  0.270  5.80  5 6.10 3.707  4.52  4 0.87  0.907  0.564  0.929  2.184 13.013   -1.516    0.167    5.66   11.81    9.42  -13.64 -0.14 293.00000 -40.00000  0.125  4.955
  0.270  5.50  5 5.80 3.723  4.49  6 0.90  0.821  0.382  0.885  2.044 12.865    3.493    2.987  -57.56  -72.51   20.64   33.14 -0.19 293.00000 -40.00000  0.125  4.751
  0.270  5.40  5 5.60 3.728  4.52  5 0.93  0.824  0.439  0.877  1.991 12.625    1.828    1.492    4.08  -27.03  -13.54   -4.07  0.09 293.00000 -40.00000  0.125  4.683
  0.270  5.50  5 5.80 3.723  4.51  2 0.95  0.839  0.449  0.885  2.048 12.851    2.788    2.857   21.78  -42.10  -29.74  -20.86 -0.01 293.00000 -40.00000  0.125  4.751
  0.270  4.20  5 5.00 3.770  4.25  7 1.05  0.606  0.016  0.713  1.594 11.542    2.307    2.739  -41.88  -56.32   18.85   18.26 -0.34 293.00000 -40.00000  0.125  3.579
  0.270  6.20  5 5.75 3.726  4.65  8 0.71  0.724  0.042  0.867  2.006 13.492    4.180    1.816   21.07  -43.16  -44.44   -4.13 -1.31 293.00000 -40.00000  0.125  5.982
  0.290 10.30  5 7.20 3.557  4.84  4 0.47  1.517  1.192  2.070  4.299 17.734    3.717    1.456   28.98  -36.95  -49.23   -8.28 -0.00 293.00000 -40.00000  0.127  8.771
  0.290 10.30  5 7.20 3.557  4.82  7 0.47  1.520  1.194  2.075  4.277 17.764    0.060    0.956   14.32   -5.96   -7.31  -17.03 -0.04 293.00000 -40.00000  0.127  8.739
