name mean std median IQR skew kurtosis
"LMC pmra" 4.972736092184623 8.281319872050481 3.5866005173141033 5.4819872151945015 2.902538903613102 54.96801417759312
"LMC pmdec" 4.7076353815227305 10.279501376469607 3.3299314931797124 8.66109181397256 2.19653576361184 38.36078929870392
"SMC pmra" 4.060394066222031 9.144958887347167 1.5481506166339962 4.404308815633078 8.396415923998145 175.39368194016348
"SMC pmdec" -0.7977984950028141 5.89254053748466 -1.1504470092479984 2.0730054140371257 -2.756973261025786 103.86610561995501
"MW pmra" 7.041079219288174 11.439384878122633 5.734999999999999 9.73 2.0736814983651577 18.33896458093757
"MW pmdec" 3.3980367393800224 13.312777497970727 2.965 9.215000000000002 -7.904045585307047 205.04349721472977
